"route","device","before_JS_bytes","after_JS_bytes","before_JS_gzip_bytes","after_JS_gzip_bytes","before_CSS_bytes","after_CSS_bytes","before_API_requests","after_API_requests","before_image_bytes","after_image_bytes","before_overflow","after_overflow","before_broken_images","after_broken_images","after_page_errors"
"/activate-legacy","desktop","504551","492317","150286","148019","187955","186023","2","2","107293","107293","false","false","0","0","0"
"/activate-legacy","mobile","504551","492317","150286","148019","187955","186023","2","2","32845","32845","false","false","0","0","0"
"/account/legacy-claim","desktop","519442","504387","156007","152800","235215","233283","3","3","17452","17452","false","false","0","0","0"
"/account/legacy-claim","mobile","519442","504387","156007","152800","235215","233283","3","3","17452","17452","false","false","0","0","0"
"/admin/legacy-claims","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/legacy-claims","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/team/profile","desktop","737759","738202","212316","215578","291681","291682","3","3","141506","141506","false","false","1","1","0"
"/team/profile","mobile","737759","738202","212316","215578","291681","291682","3","3","36998","36998","false","false","0","0","0"
"/team/career","desktop","729172","729292","209127","211989","263661","263662","3","3","17452","17452","false","false","0","0","0"
"/team/career","mobile","729172","729292","209127","211989","263661","263662","3","3","17452","17452","false","false","0","0","0"
"/","desktop","495052","479491","146855","143281","187955","186023","3","3","630333","630333","false","false","0","0","0"
"/","mobile","495052","479491","146855","143281","187955","186023","3","3","192553","192553","false","false","0","0","0"
"/tournaments","desktop","533270","492894","159701","148561","270325","268393","14","11","176268","176268","false","false","0","0","0"
"/tournaments","mobile","533270","492894","159701","148561","270325","268393","14","11","41252","41252","false","false","0","0","0"
"/tournaments/:tournamentId/recap","desktop","495052","479491","146855","143281","187955","186023","3","3","17452","17452","false","false","0","0","0"
"/tournaments/:tournamentId/recap","mobile","495052","479491","146855","143281","187955","186023","3","3","17452","17452","false","false","0","0","0"
"/tournaments/:tournamentId","desktop","533270","520780","159701","158787","270325","268393","10","9","412321","412321","false","false","0","0","0"
"/tournaments/:tournamentId","mobile","533270","520780","159701","158787","270325","268393","10","9","131265","131265","false","false","0","0","0"
"/leaderboard","desktop","533270","520780","159701","158787","270325","268393","4","4","17452","17452","false","false","0","0","0"
"/leaderboard","mobile","533270","520780","159701","158787","270325","268393","4","4","17452","17452","false","false","0","0","0"
"/regulations","desktop","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/regulations","mobile","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/contact","desktop","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/contact","mobile","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/privacy","desktop","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
"/privacy","mobile","533270","484786","159701","145490","270325","268393","2","2","17452","17452","false","false","0","0","0"
